epoch,train_loss,val_loss
0,2552203.977254747,971339.0736045598
1,762224.2291337026,543396.0828419811
2,397313.3590288766,402205.43514150946
3,235654.99782436708,352594.2985210299
4,148819.98934434337,307739.1272110849
5,86804.60948625396,285059.69105001964
6,50947.07214200949,289725.65792059747
7,45757.180237589004,254565.29234227593
8,54414.64211456685,262648.6977446934
9,29660.11891811709,245990.49173299922
10,23705.7650996341,245430.03277319184
11,39456.29329633109,238639.2770980739
12,35405.35002039656,241725.9357556997
13,15164.753581759296,235962.04751375786
14,29831.982278171974,244137.22969487027
15,14367.594793778431,252029.14809355346
16,28716.393926306617,230771.3913374607
17,60869.7152679057,224535.3645096305
18,24179.80304186857,248002.9821884827
19,29789.426607156103,230443.71716538916
20,14356.522617002076,240736.3041470126
21,23989.815428914902,265855.33628144657
22,23606.945443841476,220290.29094192217
23,24183.387626551375,276062.69558274373
24,52641.85851432704,219354.9572523585
25,88022.35841620722,209879.99656053458
26,68430.7636448341,205987.85311025943
27,49319.819659269306,203165.94631977202
28,37598.25813158252,207391.93634532232
29,32761.796991662133,221778.68145636792
30,27018.293828650367,246821.72893327437
31,30000.612113083465,256022.7736831761
32,46575.83053163939,195690.27186517295
33,93224.9624641515,202377.62823064072
34,45382.89658017702,195949.96916764937
35,13882.321735623516,205246.62879569575
36,18258.111191375345,196215.14298349057
37,33846.08178749567,197688.65414946934
38,64861.28008569645,229130.3525820558
39,50236.55360122874,197937.1112789898
